  0.6268079E+00 -0.5509591E+00 -0.5509591E+00  0.5509591E+00 -0.6268079E+00 -0.5509591E+00
  0.6268079E+00 -0.5509591E+00 -0.5509591E+00  0.5509591E+00 -0.5509591E+00 -0.6268079E+00
  0.6268079E+00 -0.5509591E+00 -0.5509591E+00  0.6711811E+00 -0.4494315E+00 -0.5895144E+00
  0.6711811E+00 -0.4494315E+00 -0.5895144E+00  0.5895144E+00 -0.4494315E+00 -0.6711811E+00
  0.6711811E+00 -0.4494315E+00 -0.5895144E+00  0.7045228E+00 -0.3481364E+00 -0.6184243E+00
  0.7045228E+00 -0.3481364E+00 -0.6184243E+00  0.6184243E+00 -0.3481364E+00 -0.7045228E+00
  0.7045228E+00 -0.3481364E+00 -0.6184243E+00  0.7282600E+00 -0.2476903E+00 -0.6389733E+00
  0.7282600E+00 -0.2476903E+00 -0.6389733E+00  0.6389733E+00 -0.2476903E+00 -0.7282600E+00
  0.7282600E+00 -0.2476903E+00 -0.6389733E+00  0.7434821E+00 -0.1481660E+00 -0.6521359E+00
  0.7434821E+00 -0.1481660E+00 -0.6521359E+00  0.6521359E+00 -0.1481660E+00 -0.7434821E+00
  0.7434821E+00 -0.1481660E+00 -0.6521359E+00  0.7509133E+00 -0.4930867E-01 -0.6585574E+00
  0.7509133E+00 -0.4930867E-01 -0.6585574E+00  0.6585574E+00 -0.4930867E-01 -0.7509133E+00
  0.7509133E+00 -0.4930867E-01 -0.6585574E+00  0.7509133E+00  0.4930867E-01 -0.6585574E+00
  0.7509133E+00  0.4930867E-01 -0.6585574E+00  0.6585574E+00  0.4930867E-01 -0.7509133E+00
  0.7509133E+00  0.4930867E-01 -0.6585574E+00  0.7434821E+00  0.1481660E+00 -0.6521359E+00
  0.7434821E+00  0.1481660E+00 -0.6521359E+00  0.6521359E+00  0.1481660E+00 -0.7434821E+00
  0.7434821E+00  0.1481660E+00 -0.6521359E+00  0.7282600E+00  0.2476903E+00 -0.6389733E+00
  0.7282600E+00  0.2476903E+00 -0.6389733E+00  0.6389733E+00  0.2476903E+00 -0.7282600E+00
  0.7282600E+00  0.2476903E+00 -0.6389733E+00  0.7045228E+00  0.3481364E+00 -0.6184243E+00
  0.7045228E+00  0.3481364E+00 -0.6184243E+00  0.6184243E+00  0.3481364E+00 -0.7045228E+00
  0.7045228E+00  0.3481364E+00 -0.6184243E+00  0.6711811E+00  0.4494315E+00 -0.5895144E+00
  0.6711811E+00  0.4494315E+00 -0.5895144E+00  0.5895144E+00  0.4494315E+00 -0.6711811E+00
  0.6711811E+00  0.4494315E+00 -0.5895144E+00  0.6268079E+00  0.5509591E+00 -0.5509591E+00
  0.6268079E+00  0.5509591E+00 -0.5509591E+00  0.5509591E+00  0.5509591E+00 -0.6268079E+00
  0.6711811E+00 -0.5895144E+00 -0.4494315E+00  0.5895144E+00 -0.6711811E+00 -0.4494315E+00
  0.6268079E+00 -0.5509591E+00 -0.5509591E+00  0.6711811E+00 -0.5895144E+00 -0.4494315E+00
